Source,Verb,PreContext,Target,PostContext,Embedding,Conjunction_inf,MatTense,MatPers,MatNum,MatAspect,SubTense,SubPers,SubNum,SubAspect,Rating1,Rating2,Rating3,Comment
ao3,воображать,"Армин смотрит на меня своими голубыми глазами без страха, хотя они и стали круглыми, как у совы. Мы оба смотрим друг на друга, и я проигрываю, поэтому перевожу взгляд в окно поверх его головы и напускаю на себя отстраненный вид.","Солнце светит мне прямо в лицо, и я воображаю, что со стороны выгляжу, как в фильмах — одухотворенным и недосягаемым.","Я должен подумать. Я понимаю, что Армин снова прав, но меня всего колотит изнутри, если последнее слово стоит не за мной.",no,что,present,first,singular,ipf,present,first,singular,ipf,-1,-1,-1,
RNC,воображать,"― Ну, уж если вы так очаровательно любезны, ― проговорил он, ― а я другого ничего и не ожидал, так будем без церемоний, ― он опять наклонился к краю кровати и крикнул: ― Долго будет продолжаться этот балаган под кроватью? Вылезай, окаянный ганс! ― Коня не могу найти, ― задушенным и фальшивым голосом отозвался из-под кровати кот, ― ускакал куда-то, а вместо него какая-то лягушка попадается","― Не воображаешь ли ты, что находишься на ярмарочной площади? ― притворяясь рассерженным, спрашивал Воланд, ― никакой лягушки не было под кроватью!","Оставь эти дешевые фокусы для Варьете. Если ты сейчас же не появишься, мы будем считать, что ты сдался, проклятый дезертир. ― Ни за что, мессир! ― заорал кот и в ту же секунду вылез из-под кровати, держа в лапе коня.",negation,что,present,second,singular,ipf,present,second,singular,ipf,-3,-3,-3,
RNC,воображать,‒ Женитьба?! Моя дочь — за мерзавца? За голодранца?,"И вы воображаете, что она собирается рожать от вашего урода?","Да ни за что на свете! Ваш сынок понимал, что никаких надежд у него нет, и решил таким образом своего добиться… Нет, нет и нет!",question,что,present,second,plural,ipf,present,third,singular,ipf,-2,-3,-3,
RNC,воображать,"Крыся к своему не притронулась, смотрела, подперев плечом дверной косяк, как Мокей пьет и закусывает сыром. Если бы не проступившая на ее губах улыбка, мизансцену можно было принять за классическую иллюстрацию великой усталости, какую испытывают прожившие вместе жизнь супруги. Спросила, не скрывая издевки","― Теперь, наверное, воображаешь, что и ты часть пресловутой вечной силы?","Мокей пожал плечами. Закурил. Избегая встречаться с Крысей взглядом, отвернулся к окну и принялся смотреть на утопавший в темноте парк.",modal+question,что,present,second,singular,ipf,,,,,-2,-3,-3,нулевой глагол-связка
RNC,воображать,"Тот, что предназначался Коковцову, уволенному якобы «уступая его настойчивой просьбе», содержал похвалы в его адрес и благодарность за проделанную работу. Вторым рескриптом И. Л. Горемыкин назначался председателем Совета министров. Третий был адресован П. Л. Барку как новому министру финансов и осуждал всю деятельность министерства за последние годы: производительные силы недостаточно развиваются, кредит недоступен громадной массе населения и т. п. Впрочем, во время аудиенции Николай с большим чувством жал уволенному руку и даже прослезился.","Коковцов был возведен в графское достоинство, а от предложенных 300 тысяч вежливо отказался, чем вызвал массу нареканий: что, мол, он из себя строит, воображает, что он лучше других?","После отставки Коковцов узнал, что, по мнению государя, он позволил Думе слишком много говорить, вмешиваться в дела правительства, великих князей и трона ― словом, из трусости или по умыслу проявил себя противником «суверенного самодержавия». А еще он слишком подчинял политические интересы финансовым соображениям, боялся резких шагов из опасений биржевых потрясений, шел на уступки международным финансовым кругам, возражал против курса на войну с Австрией и Германией. «Я слишком близко видел, ― пишет Коковцов в мемуарах, ― все недостатки военной организации среди той легкости, с которой относились люди, стоящие наверху правительственной лестницы, к возможности вооруженного столкновения с нашим западным соседом…",question,что,present,third,singular,ipf,,,,,-2,-3,-3,нулевой глагол-связка
RNC,воображать,Разве в Ереване часть книжных не закрылась? ― Сравнила! В Ереване им торговать нечем.,"Из России книги надо на самолете возить, воображаешь, во что это обходится?","А армянское книгоиздание приказало долго жить. ― Она замолчала, собственная формулировка нагоняла на нее дрожь, хотя так оно и было, ни убавить, ни прибавить. Казалось бы, ей-то должно быть до лампочки, выходят в Армении книги или нет, по-армянски она практически не читала, что за радость двигаться от слова к слову, когда можешь сразу ухватить полстраницы, и все равно ее прошибал холодный пот, когда она представляла себе прилавки ереванских книжных магазинов, последних уцелевших, три-четыре армянские книжки, и то черт знает что, издают ведь себя, и не те, кто пишет шедевры, а кто способен добыть деньги…",question,-,present,second,singular,ipf,present,third,singular,ipf,0,0,0,
RNC,воображать,"― Это я послал тебе мысленный сигнал. Я тут уже извелся, как молодая дева в тереме. Куда ты пропал?","Воображаешь, что ты и в самом деле в отпуске?","― Я и в самом деле в отпуске, ― сурово ответил Гуров. ― Тебе Мария случайно не звонила? ― Она ― твоя жена! ― с упреком заметил Крячко, делая ударение на слове «твоя».",question,что,present,second,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,Глава шестая. Стиль «Триумф» 1949-1953 Народная байка:,"Сталин, пропесочивая своего непутевого сына Ваську, кричит: «Ты воображаешь, что ты Сталин?","Ты не Сталин! Ты думаешь, я Сталин? И я не Сталин!",question,что,present,second,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,"Все мои наивные усилия ему понравиться приводили только к обострению его неприязни. Каждый раз, когда я умело и быстро справлялась с заданным им переводом, он с отвращением морщился и говорил: «Если вы так хорошо все умеете, Нина Воронель, что вы здесь делаете?","Ведь вы воображаете, что вам тут нечему учиться, раз вы перевели Оскара Уайльда?","Так освободите драгоценное студенческое место в Литературном институте кому-нибудь другому, который в этом нуждается». Но мне как раз было чему учиться. Это было в самый теплый момент хрущевской оттепели, когда миллионам людей начала открываться бездна, в которую эпоха мудрого отца народов повергла сокровища российской культуры.",question,что,present,second,plural,ipf,-,-,-,ipf,-2,-3,-3,
RNC,воображать,Мы с тобой на скольких картинах отработали? На семи? На восьми!,"Каждый из вас воображал, что, дай ему волю ― отснимет лучше, чем диктатор-режиссер, нет?!","― Иногда… ― вынужденно кивнул Ломакин. ― Д-дети! Что, я вас всех не знаю?!",question,что,past,-,singular,ipf,present,third,singular,pf,-2,-3,-3,
RNC,воображать,"Быков медленно, страшно побагровел, наливаясь венозной кровью. Какое-то короткое время он пытался сдержаться, а потом и его прорвало. Огромный чугунный кулак с треском ударил в спинку переднего сиденья.","― Ты что же, воображаешь, будто этот мир не выдуман?!","Да это же морок, морок!! Нашел реальность! Если бы не подпитка валютой и трепотней извне, он двух лет бы не простоял!",question,будто,present,second,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,"Ну, буду говорить. ― Говори, говори, моя радость. Только не молчи!","― Ты что, воображаешь, что сможешь восстановить весь текст, а потом присочинишь эпилог?",― Почему нет? Иначе зачем я здесь? ― Чтобы мне было с кем коротать вечность.,question,что,present,second,singular,ipf,future,second,singular,pf,-2,-2,-3,
RNC,воображать,Оружие есть? Если есть ― сдайте лучше сами. Я поглядела с судорожной улыбкой на этого шутника-идиота.,"Что он ― притворяется или в самом деле воображает, будто мы, мы! способны хранить оружие и яды?","Я мотнула головой. ― Покажите нам его комнату, ― приказал мне главный. ― А вы, гражданин, останетесь здесь.",question,будто,present,third,singular,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,"И это ― детские писатели, люди, призванные воспитывать детей! Это непристойно. А. Медников, а с ним и Стрехнин: Им никто не давал указания сверху, они говорят от души.","Почему вы воображаете, что вы одна говорите от души, а все ― по подсказке?","Они говорят, что думают. Я: Они все говорят одно и то же, одно и то же, одно и то же ― значит, по подсказке. И все они говорят не о моей статье «Гнев народа», а только о семейных делах.",question,что,present,second,plural,ipf,present,second,plural,ipf,-3,-3,-3,
RNC,воображать,"Вас поддерживает оголтелая антисоветчина. Войну Отечественную зачеркнуть не может ни Солженицын, ни Сахаров, ни вы. Мы великая страна, и ваши попытки жалки.","Вы воображаете, что вы герой?",Вы возомнили себя фигурой? У вас жалкий вид! Вы жалкая личность!,question,что,present,second,plural,ipf,,,,,-2,-3,-3,нулевой глагол-связка
RNC,воображать,"Она свободна, независима, у нее отличная квартира, работа, уважение коллег, есть люди, которым она хоть чуть-чуть, но нужна. Возможно, какая-то доля прагматизма в отношении к ней у них и была, но только небольшая. Они, ее люди, были все-таки достаточно взрослые, чтобы не иметь впереди конкретную цель в виде Катиной квартирки.","В смысле, достаточно взрослые для того, чтобы не воображать себе, будто не только в сказках такие подарки делаются.","Чай с сушками, иногда ночевка с субботы на воскресенье и добрый разговор. Разве этого мало? Ну и сувенирчики ко дню рождения, на Новый год и Рождество.",negation,будто,-,-,-,ipf,-,-,-,ipf,-3,-3,-3,
RNC,воображать,"― К телефону, конечно. Начинай договариваться насчет денег, дорогой. Предупреди, что сумма должна быть в двадцатидолларовых купюрах и не позднее чем через сорок минут.","И пусть не воображают, что им удастся пометить деньги.",За это я буду карать очень строго ― как за подделку казначейских билетов. ― Он засмеялся. ― Куда доставить? ― спросил Гуров.,negation,что,present,third,plural,ipf,present,third,singular,pf,-3,-3,-3,императив с пусть
RNC,воображать,"Выходило, что заманчивые поездки по таджикской глубинке были мне не по карману. Сперва я попыталась что-нибудь заработать, написав несколько статеек в местную газету. Но из этого ничего не вышло ― надо мной поиздевались и ничего не заплатили.","Я до сих пор уверена, что меня намеренно проучили, чтобы я не зазнавалась, ― дескать, пускай эта столичная штучка не воображает, будто она с ходу способна вскочить в то кресло, к которому мы столько лет ползли, сбивая в кровь коленки.","И тут мои мудрые русско-еврейские советчики придумали остроумный ход конем: а почему бы мне, как будущему переводчику, не попросить денег у местного союза писателей на благородное дело освоения таджикского языка? Я быстро написала нужное заявление, и мне устроили встречу с самим председателем союза, легендарным Мирзо Турсун-Заде. Чем он, собственно, был легендарен, я толком так и не узнала, ― разве что той ходящей по лит-салонам легендой, будто все его поэмы при полном отсутствии оригиналов сочинил мой уважаемый мэтр, Семен Израилевич Липкин, не получивший потом ни гроша из присужденной за эти поэмы Государственной премии.",negation,будто,present,third,singular,ipf,,,,,-2,-2,-3,нулевой глагол-связка
RNC,воображать,"См. ЛИЧНОСТЬ КАК ТОЧКА ПЕРЕСЕЧЕНИЯ. Евгеника — это наш нравственный долг перед домашними животными. Евхаристия Читатель приобщается автору, как при евхаристии — богу: поглотив его частицу.","Но при евхаристии причастник обычно никогда не воображает, будто съел всего бога, а при чтении — к сожалению, почти всегда.","Ефа мера емкости, вмещающая 432 яйца. «И там сидела одна женщина посреди ефы», Зах. 5, 7. Египет Блок не мог есть при чужих, как Геродотовы египтяне (восп.",negation,будто,present,third,singular,ipf,past,-,singular,pf,-3,-3,-3,
RNC,воображать,"Вместо девяти стрелковых батальонов у него по количеству активных штыков во всей дивизии ― остался один батальон. Один(!)… «Сибиряки спасли Москву» ― утвердилось в общем мнении еще с военной поры, но какой невероятной ценой… Эсэсовская «Рейх» тоже пострадала, и, по немецким понятиям о потерях, очень сильно, но с нашими ― не сравнимо…","На Рузе Биттрих легко отбил атаки «Сибиряка» и, уводя «Рейх» на отдых и пополнение, показал победителю Белобородову, что хоть он, группенфюрер СС, в Москву и не попал, пусть и гвардии генерал не воображает, что ему, гвардии генералу, удастся легко попасть в Берлин…",До победного мая оставалось еще без малого три с половиною года войны. Школу в Снигирях отстроили. Теперь в ней ― это замечательно и справедливо ― Музей боевой славы 16-й армии Рокоссовского и дивизии Белобородова.,negation,что,present,third,singular,ipf,present,third,singular,pf,-2,-3,-3,императив с пусть
RNC,воображать,"Сидя на стуле, можно попытаться внушить себе, что под тобой настоящая лошадь. Но, пожалуй, это будет лишь некая разновидность галлюцинации. К мастерству актера она отношения не имеет.","Нужно идти иным путем: не воображать, что стул ― это лошадь, а увидеть себя скачущим на лошади.","И от этого активного видения неизбежно возникает правдивая пластика ― пластика скачущего человека. Эта сторона игры актера кажется мне особенно важной. Пластика должна быть избавлена от всего внешнего, лишенного внутренней наполненности, внутреннего оправдания.",negation,что,-,-,-,ipf,,,,,-3,-3,-3,нулевой глагол-связка
RNC,воображать,"Нам невозможно опытно знать, что такое солнце, быть солнцем в той мере, в какой солнце является собой. Однако мы его познаем косвенно и вместе с этим сущностно, когда испытываем его как свет, испытываем его как тепло. Мы приобщаемся к тому, что оно собой представляет, но сущности его познать не можем.","И православное богословие настаивало издревле на том, что о Боге можно говорить положительно, так же как мы говорим о свете, о тепле, но надо говорить тоже и отрицательно в том смысле, чтобы мы не воображали, будто, сказав нечто положительное о Боге, мы Его можем исчерпать, можем столько о Нем сказать, что о Нем все будет сказано и мы будем знать, что есть Бог.","Я хочу вам дать еще пару примеров об этом. Еврейский богослов Маймонид приводит такой разговор между древним учителем и его учеником. Юноша стал на молитву и, воздев руки к небу, сказал: «Господи, Ты премудр, Ты прекрасен..",negation,будто,past,-,plural,ipf,present,first,plural,ipf,-3,-3,-3,
RNC,воображать,"Первое имеет целью достижение практических результатов, второе ― получение определенных знаний, необходимых для их достижения. В первом ― человек находится в реальной ситуации, во втором ― в условной. Отличительной особенностью поведения, реализуемого при пользовании научно-познавательными моделями, является его отграниченность от обычного, практического.","Никто из пользующихся географической картой не воображает, что в это время он тем самым совершает реальное путешествие.","Между этими двумя планами существует отношение семантической соотнесенности, без чего исследование знаков и моделей не могло бы служить средством познания. Однако одновременно проявляется стремление четко разграничивать оба вида поведения и, соотнося их результаты, не осуществлять операцию семантической интерпретации для каждой отдельной детали. Глеб Успенский в цикле «Живые цифры» может раскрыть семантику тех или иных статистических данных (ср. его очерки «Четверть лошади» или «Ноль целых», показывающие, какая реальность скрывается за статистическим показателем типа 0,25).",negation,что,present,third,singular,ipf,present,third,singular,ipf,-2,-3,-3,
RNC,воображать,"Быстро, с женственной грациозностью, в темно-зеленом бархатном платье проходила она мимо моих окон, «как мимолетное виденье». Улегшись вечером в кровати, я долго думал о ней, предавался несбыточным фантазиям. Во всех этих фантазиях я выступал как благородный рыцарь или знаменитый артист, а она восторгалась моим мужеством или хладнокровием (в зависимости от обстоятельств) или была потрясена моим актерским мастерством.","Причем я знал и границу своим мечтаниям: я не воображал, что она влюбится в меня за красоту, этого при всей силе юного воображения я представить не мог.","Я убеждал себя, да и других в том, что в мужчине главное не красота, а ум и характер. Характер у меня неплохой, спокойный, веселый, думал я, а ум накопить можно. Но вот беда: познакомиться с ней я никак не мог.",negation,что,past,-,singular,ipf,future,third,singular,pf,-2,-2,-1,
